ShortName,time_diff,F030101A,F030201A,F030301A,F030401A,F030501A,F030601A,F030701A,F030801A,F030901A,F031001A,F031101A,F031201A,F031301A,F031401A,F031501A,F031601A,F031701A,F031801A,F031901A,F032001A,F032101B,F032201B,F032301B,F032401B,F032501B,F032601B,F032701B,F032801B,F032901B,F033001B,F033101B,F033201B,F033301B,F033401B,F033501A,label
华泽钴镍,9,0.899888,0.112233,0.145457,0.203288,0.182937,0.749586,0.100112,0.064429,0.019036,0.980964,0.24405,0.148925,4.393174,3.787877,0.948411,0.666696,0.333304,0.051589,1.0,0.0,1.57654,0.0,0.995738,0.004262,0.000763,0.002646,0.210134,0.149533,1.0,0.0,1.0,0.0,1.0,0.0,0.301607,1
金徽酒,12,0.494864,0.158431,0.002271,0.591008,0.292469,0.37181,0.505136,0.443347,0.053049,0.946951,0.786608,0.396404,1.797417,1.774249,0.948466,0.919264,0.080736,0.051534,1.0,0.0,2.568737,-0.001836,1.031667,-0.031667,0.139725,0.191623,0.78748,0.213276,1.0,0.0,1.0,0.0,1.0,0.0,0.978567,0
名流置业,12,0.916324,0.105275,0.010799,0.651266,0.596771,1.389725,0.083676,0.031479,0.000346,0.998751,0.429417,0.098219,16.746757,13.641542,0.560046,0.340426,0.659574,0.439954,0.964676,0.035324,2.19824,0.581704,1.002847,-0.002847,0.080773,0.127987,0.917387,0.338425,1.008372,-0.008372,1.001242,-0.001242,1.008383,-0.008383,0.51411,0
迪安诊断,12,0.662789,0.13525,0.37121,0.317984,0.210757,0.43344,0.337211,0.086547,0.005516,0.891352,0.486242,0.200385,2.877932,5.618269,0.879855,0.391791,0.608209,0.120145,0.779239,0.220761,3.089775,0.053562,1.002213,-0.002213,0.00346,0.026698,0.215811,0.187841,0.75045,0.24955,1.0,0.0,0.75045,0.24955,0.462823,0
兴业银行,12,0.0,0.121205,0.0,0.0,0.0,0.0,0.0,0.003346,9e-05,0.999842,0.079149,0.043997,20.852485,23.654236,0.0,0.0,0.010672,0.0,0.985248,0.014752,0.0,0.270105,0.998826,0.001174,0.011466,0.060696,0.144082,0.116863,0.984412,0.015588,1.062596,-0.062596,0.983531,0.016469,0.0,0
天壕节能,12,0.199158,0.073425,0.075069,0.02825,0.005626,0.007339,0.800842,0.556541,0.008351,0.991649,0.766609,0.178932,1.416288,1.377454,0.829217,0.397264,0.602736,0.170783,0.986208,0.013792,1.369089,0.005615,0.807185,0.192815,0.012702,0.057889,0.155503,0.121383,1.040774,-0.040774,1.0,0.0,1.040774,-0.040774,0.833298,0
天津磁卡,12,0.749065,0.007917,0.295694,0.047405,0.035509,0.130287,0.250935,0.123211,0.018701,0.981299,0.272547,0.033264,1.437846,2.21203,0.980897,0.231104,0.768896,0.019103,0.980409,0.019591,1.780027,-0.078136,0.993317,0.006683,0.0051,0.012003,0.068034,0.039127,1.159983,-0.159983,0.0,0.0,0.0,0.0,0.321209,1
鹏起科技,12,0.541153,0.04979,0.064738,0.302651,0.163781,0.284467,0.458847,0.129737,0.024962,0.716444,0.575746,0.088059,4.258328,4.437778,0.889495,0.38026,0.61974,0.110505,0.975956,0.024044,1.909067,-0.012901,0.987751,0.012249,0.006886,0.031887,0.179848,0.141011,0.973169,0.026831,0.882105,0.117895,0.976332,0.023668,0.616937,1
大盈股份,12,0.724131,0.011053,0.669005,0.215533,0.156074,0.433941,0.275869,0.132691,0.008587,0.991413,0.359666,-0.012592,1.638235,2.710547,0.887126,0.309906,0.690094,0.112874,0.980857,0.019143,1.509988,4.668518,0.766585,0.233415,0.042619,0.082066,3.039512,1.460991,0.977803,0.022197,0.0,0.0,0.0,0.0,0.44012,1
青岛国货,12,0.212188,0.018666,0.15105,-0.994683,-0.211059,-0.358355,0.787812,0.661327,0.03905,0.96095,0.588968,-0.08496,0.805509,0.890585,1.029718,0.292147,0.707853,-0.029718,0.999562,0.000438,-0.948086,0.005404,0.942491,0.057509,0.004533,0.004533,-0.031151,0.0,0.998051,0.001949,0.0,0.0,0.0,0.0,0.669051,1
G 北巴,12,0.205313,0.10087,0.019817,-0.691044,-0.14188,-0.615231,0.794687,0.77546,0.003013,0.996987,0.230614,-0.046906,0.828538,0.297389,0.45126,0.136893,0.863107,0.54874,0.823211,0.176789,0.300973,0.006634,1.516559,-0.516559,0.033512,0.036778,-0.212834,-0.0189,1.005883,-0.005883,0.0,0.0,0.0,0.0,0.212193,1
西部创业,15,0.25244,0.173159,0.065458,0.782781,0.197606,0.210653,0.74756,0.61153,0.084797,0.915203,0.93806,-0.124106,1.545575,1.533957,0.885294,0.885294,0.114706,0.114706,1.0,0.0,1.279615,0.0,1.052068,-0.052068,0.008098,0.060242,0.211037,0.182669,1.0,0.0,1.0,0.0,1.0,0.0,0.990848,0
京源环保,15,0.871717,0.130557,0.42923,0.737229,0.642656,0.838531,0.128283,0.027074,0.011559,0.988441,0.766406,0.200367,14.081675,28.308343,0.980597,0.578073,0.421927,0.019403,0.99882,0.00118,1.942159,0.007313,0.996937,0.003063,0.003817,0.035467,0.171028,0.152622,1.009579,-0.009579,1.0,0.0,1.009579,-0.009579,0.843125,0
宝馨科技,15,0.425123,0.036809,0.166796,0.152758,0.064941,0.113507,0.574877,0.317056,0.035907,0.815954,0.572134,0.084088,1.978846,1.80452,0.841809,0.328254,0.671746,0.158191,0.985446,0.014554,-1.59482,-0.028325,0.998678,0.0,0.00958,-0.000191,0.001279,0.0655,0.990703,0.009297,0.991945,0.008055,0.990778,0.009222,0.616401,0
姚记科技,15,0.335945,0.123049,0.084054,0.018053,0.006065,0.011197,0.664055,0.090701,0.020305,0.642413,0.541667,0.0,6.923835,5.972017,0.719739,0.370997,0.629003,0.280261,0.973392,0.026608,0.972491,0.46132,1.001938,-0.001938,0.015547,0.049341,0.082593,0.056569,0.962886,0.037114,0.999998,2e-06,0.962886,0.037114,0.577362,0
帝龙文化,15,0.315037,0.039129,0.176582,0.678814,0.213851,0.238467,0.684963,0.064144,0.028462,0.391164,0.896774,0.159045,13.56106,13.98054,0.980236,0.968458,0.031542,0.019764,1.0,0.0,1.383086,0.067193,0.973354,0.026646,0.006436,0.034856,0.172715,0.140822,1.0,0.0,1.0,0.0,1.0,0.0,0.976596,0
星星科技,15,0.545614,0.025242,0.275711,-0.080166,-0.043739,-0.130342,0.454386,0.279657,0.016002,0.898392,0.335574,-0.123934,1.468395,1.199949,0.887011,0.415738,0.584262,0.112989,0.559453,0.440547,6.211849,-0.155436,0.658946,0.341054,0.003566,0.006299,0.278536,0.120854,1.350896,-0.350896,1.0,0.0,1.350896,-0.350896,0.238531,1
铜城集团,15,0.219629,0.007424,0.107687,-1.446861,-0.317773,-0.84504,0.780371,0.379138,0.114384,0.885616,0.376045,-0.33076,0.695342,0.991842,0.861284,0.519619,0.480381,0.138716,0.687972,0.312028,-2.454773,0.0,1.00869,-0.00869,0.005853,0.005853,-0.042126,0.0,1.572461,-0.572461,0.0,0.0,0.0,0.0,0.382829,1
G 宝石,15,0.324443,0.050931,0.149825,-1.141695,-0.370414,-1.213905,0.675557,0.188926,0.016296,0.983704,0.305143,-0.832938,0.472493,1.615142,1.0,0.990533,0.009467,0.0,0.945502,0.054498,-0.194463,0.994483,1.000001,0.0,0.01188,0.01188,-0.005878,0.0,0.793687,0.206313,0.0,0.0,0.0,0.0,0.889164,1
麦趣尔,15,0.410736,0.158837,0.078252,0.407875,0.167529,0.223018,0.589264,0.166326,0.055427,0.934299,0.751193,0.124292,1.759927,4.516377,0.977491,0.773212,0.226788,0.022509,0.997897,0.002103,11.238071,0.04302,0.999197,0.000803,0.005332,0.015286,0.476481,0.310267,1.101054,-0.101054,1.0,0.0,1.101054,-0.101054,0.815295,1
康得新,15,0.742176,0.473462,0.143458,0.532333,0.395085,0.750416,0.257824,0.09998,0.014538,0.984148,0.526488,0.233658,2.896891,5.26594,0.733014,0.261285,0.738715,0.266986,0.999003,0.000997,1.605745,0.01279,0.999881,0.000119,0.006266,0.045968,0.190348,0.164399,0.998397,0.001603,0.98294,0.01706,0.998424,0.001576,0.592297,1
